
====================
Pre-training using samples
====================
GV pre-training enabled
Epoch 9600 | V_loss=  0.0000 | GV_loss=  0.0000
Epoch 9700 | V_loss=  0.0000 | GV_loss=  0.0000
Epoch 9800 | V_loss=  0.0438 | GV_loss=  0.0000
Epoch 9900 | V_loss=  0.4309 | GV_loss=  0.0000
Epoch 10000 | V_loss=  0.7653 | GV_loss=  0.0000
Epoch 10100 | V_loss=  4.2476 | GV_loss=  0.0000
Epoch 10200 | V_loss=  0.0000 | GV_loss=  0.0000
Epoch 10300 | V_loss=  0.0000 | GV_loss=  0.0000
Epoch 10400 | V_loss=  0.0015 | GV_loss=  0.0000
Epoch 10500 | V_loss=  0.0000 | GV_loss=  0.0000
Epoch 10600 | V_loss=  0.0000 | GV_loss=  0.0000
Epoch 10700 | V_loss=  0.5561 | GV_loss=  0.0000
Epoch 10800 | V_loss=  0.4956 | GV_loss=  0.0000
Epoch 10900 | V_loss=332.0717 | GV_loss=  0.0000
Epoch 11000 | V_loss=  1.1094 | GV_loss=  0.0000
Epoch 11100 | V_loss=  0.0000 | GV_loss=  0.0000
Epoch 11200 | V_loss=  0.0000 | GV_loss=  0.0000
Epoch 11300 | V_loss=  0.0000 | GV_loss=  0.2402
Epoch 11400 | V_loss=  0.0793 | GV_loss=  0.0000
Epoch 11500 | V_loss=  0.7364 | GV_loss=  0.0000
Epoch 11600 | V_loss=  0.8266 | GV_loss=  0.0000
Epoch 11700 | V_loss=  0.6652 | GV_loss=  0.0000
Epoch 11800 | V_loss=  0.0000 | GV_loss=  0.0000
Epoch 11900 | V_loss=  0.0000 | GV_loss=  0.0000
Epoch 12000 | V_loss=  0.0000 | GV_loss=  0.0000
Epoch 12100 | V_loss=  0.0000 | GV_loss=  0.0000
Epoch 12200 | V_loss=  8.5361 | GV_loss=  0.0000
Epoch 12300 | V_loss=  0.1280 | GV_loss=  0.0000
Epoch 12400 | V_loss=  0.0000 | GV_loss=  0.0000
Epoch 12500 | V_loss=  0.0135 | GV_loss=  0.0000
Epoch 12600 | V_loss=  0.0000 | GV_loss=  0.0000
Epoch 12700 | V_loss=  0.0000 | GV_loss=  0.0000
Epoch 12800 | V_loss=  0.2436 | GV_loss=  0.0000
Epoch 12900 | V_loss=  0.0347 | GV_loss=  0.0000
Epoch 13000 | V_loss=  1.9043 | GV_loss=  0.0000
Epoch 13100 | V_loss=  7.3884 | GV_loss=  0.0000
Epoch 13200 | V_loss=  0.0000 | GV_loss=  0.0000
Epoch 13300 | V_loss=  0.0000 | GV_loss=  0.0000
Epoch 13400 | V_loss=  0.0000 | GV_loss=  0.0000
Epoch 13500 | V_loss=  0.0095 | GV_loss=  0.0000
Epoch 13600 | V_loss=  0.5589 | GV_loss=  0.0000
Epoch 13700 | V_loss=  0.3549 | GV_loss=  0.0000
Epoch 13800 | V_loss=  1.6764 | GV_loss=  0.0000
Epoch 13900 | V_loss=  0.8805 | GV_loss=  0.0000
Epoch 14000 | V_loss=  0.0000 | GV_loss=  0.0000
Epoch 14100 | V_loss=  0.0000 | GV_loss=  0.0000
Epoch 14200 | V_loss=  0.0268 | GV_loss=  0.0000
Epoch 14300 | V_loss=  0.0005 | GV_loss=  0.0000
Epoch 14400 | V_loss=  0.3536 | GV_loss=  0.0000
Epoch 14500 | V_loss=  0.0000 | GV_loss=  0.0000
Epoch 14600 | V_loss=  0.4932 | GV_loss=  0.0000
Epoch 14700 | V_loss=  3.6066 | GV_loss=  0.0000
Epoch 14800 | V_loss=  0.1130 | GV_loss=  0.0000
Epoch 14900 | V_loss=  0.0000 | GV_loss=  0.0000

Best loss: 42.222206
Saved pretrained V_net to: /Users/sebastianescobar/Desktop/Neural_Certificate/nonlinear3d_syn_unsafe/outputs/V_pretrained.pth
Saved pretrained Controller_net to: /Users/sebastianescobar/Desktop/Neural_Certificate/nonlinear3d_syn_unsafe/outputs/controller_pretrained.pth
Pre-training complete. V + GV + Controller initialized.

====================
Bound-based training
====================
=== Total cells per region for V ===
init: 4096 cells
goal: 2197 cells
unsafe: 6000 cells
outside: 3250 cells
Total V cells: 15543
Created CROWN cache for V with 15543 cells
Created 1744 CROWN caches for GV
/Users/sebastianescobar/Desktop/Neural_Certificate/venv/lib/python3.11/site-packages/torch/optim/lr_scheduler.py:28: UserWarning: The verbose parameter is deprecated. Please use get_last_lr() to access the learning rate.
  warnings.warn("The verbose parameter is deprecated. Please use get_last_lr() "
Epoch     0 | Total: 92308.8594 | Goal:   0.0000 | Unsafe: 4969.8105 | Init: 600.3539 | Outside: 726.5076 | Gen: 86012.1875 | Time: 0.2s
=== Detailed Evaluation ===
Goal:      PASS, V bounds: [  0.428,   0.773] | 2197/2197 pass (100.0%)
Unsafe:    FAIL, V bounds: [  1.577,  14.522] | 2261/6000 pass (37.7%)
Init:      FAIL, V bounds: [  0.174,   1.421] | 2/4096 pass (0.0%)
Outside:   FAIL, V bounds: [ -2.495,  15.127] | 2270/3250 pass (69.8%)
Generator: FAIL, GV bounds: [-127.393, 188.800] | 382/1744 pass (21.9%)
Saved visualization plots for epoch 0 to 'training_progress'
Epoch    10 | Total: 70801.5859 | Goal:   0.0000 | Unsafe: 3642.5488 | Init: 3415.0156 | Outside: 126.5694 | Gen: 63617.4531 | Time: 12.0s
Epoch    20 | Total: 55104.8008 | Goal:   0.0000 | Unsafe: 3940.5415 | Init: 4022.8291 | Outside:  28.9816 | Gen: 47112.4492 | Time: 13.7s
Epoch    30 | Total: 43556.1484 | Goal:   0.0000 | Unsafe: 6313.6646 | Init: 2478.8518 | Outside:  42.7098 | Gen: 34720.9219 | Time: 15.8s
Epoch    40 | Total: 35240.4375 | Goal:   0.0000 | Unsafe: 6086.7456 | Init: 3519.1838 | Outside:   2.2579 | Gen: 25632.2480 | Time: 17.5s
Epoch    50 | Total: 29244.6094 | Goal:   0.0000 | Unsafe: 5070.7397 | Init: 5220.3843 | Outside:   0.0000 | Gen: 18953.4863 | Time: 19.2s
Epoch    60 | Total: 24786.9590 | Goal:   0.0000 | Unsafe: 4622.7964 | Init: 6290.0674 | Outside:   0.0000 | Gen: 13874.0957 | Time: 21.4s
Epoch    70 | Total: 21525.1660 | Goal:   0.0000 | Unsafe: 4271.6333 | Init: 7201.8066 | Outside:   0.0000 | Gen: 10051.7266 | Time: 23.1s
Epoch    80 | Total: 19304.5117 | Goal:   0.0000 | Unsafe: 4465.6040 | Init: 7502.3433 | Outside:   0.0000 | Gen: 7336.5635 | Time: 24.9s
Epoch    90 | Total: 18069.7500 | Goal:   0.0000 | Unsafe: 4866.8638 | Init: 7378.0137 | Outside:   0.0000 | Gen: 5824.8740 | Time: 26.6s
Epoch   100 | Total: 17268.3789 | Goal:   0.0000 | Unsafe: 4950.6562 | Init: 7426.9419 | Outside:   0.0000 | Gen: 4890.7803 | Time: 28.3s
Epoch   110 | Total: 16675.8613 | Goal:   0.0000 | Unsafe: 5150.6953 | Init: 7219.1284 | Outside:   0.0000 | Gen: 4306.0371 | Time: 30.2s
Epoch   120 | Total: 16147.2119 | Goal:   0.0000 | Unsafe: 5292.8452 | Init: 6907.0103 | Outside:   0.0000 | Gen: 3947.3564 | Time: 32.0s
Epoch   130 | Total: 15634.8223 | Goal:   0.0000 | Unsafe: 5528.3613 | Init: 6418.1445 | Outside:   0.0000 | Gen: 3688.3162 | Time: 33.6s
Epoch   140 | Total: 15067.2422 | Goal:   0.0000 | Unsafe: 5997.2734 | Init: 5548.7363 | Outside:   0.0000 | Gen: 3521.2327 | Time: 35.4s
Epoch   150 | Total: 14400.9805 | Goal:   0.0000 | Unsafe: 6682.3184 | Init: 4272.0371 | Outside:   0.0000 | Gen: 3446.6245 | Time: 37.1s
Epoch   160 | Total: 13611.6777 | Goal:   0.0000 | Unsafe: 7551.6792 | Init: 2562.4304 | Outside:   0.0000 | Gen: 3497.5688 | Time: 38.8s
Epoch   170 | Total: 12705.5859 | Goal:   0.0000 | Unsafe: 8120.2534 | Init: 885.0032 | Outside:   1.2049 | Gen: 3699.1238 | Time: 40.6s
Epoch   180 | Total: 12206.9355 | Goal:   0.0000 | Unsafe: 6963.2402 | Init: 1548.7473 | Outside:   0.1844 | Gen: 3694.7632 | Time: 42.3s
Epoch   190 | Total: 12143.5469 | Goal:   0.0000 | Unsafe: 8574.4033 | Init:   0.0000 | Outside:  56.7730 | Gen: 3512.3699 | Time: 44.0s
Epoch   200 | Total: 10733.7930 | Goal:   0.0000 | Unsafe: 7067.8081 | Init: 251.7692 | Outside:  13.8993 | Gen: 3400.3164 | Time: 45.8s
Epoch   210 | Total: 10008.6162 | Goal:   0.0000 | Unsafe: 6283.5620 | Init: 379.3896 | Outside:  14.4489 | Gen: 3331.2158 | Time: 47.5s
Epoch   220 | Total: 9306.3350 | Goal:   0.0000 | Unsafe: 5323.0225 | Init: 738.7233 | Outside:  10.1334 | Gen: 3234.4563 | Time: 49.2s
Epoch   230 | Total: 8384.7822 | Goal:   0.0000 | Unsafe: 4863.2012 | Init: 383.9292 | Outside:  22.7273 | Gen: 3114.9246 | Time: 51.4s
Epoch   240 | Total: 7618.5420 | Goal:   0.0000 | Unsafe: 3950.9355 | Init: 648.8998 | Outside:  18.0028 | Gen: 3000.7039 | Time: 53.1s
Refining outside cells: 193 failing, refined 100 cells, 3950 total
Rebuilt V cache with 16243 cells
Epoch   250 | Total: 6706.9414 | Goal:   0.0000 | Unsafe: 3607.1030 | Init: 165.8950 | Outside:  22.7827 | Gen: 2911.1604 | Time: 55.3s
Epoch   260 | Total: 6008.6504 | Goal:   0.0000 | Unsafe: 2975.9524 | Init: 220.1484 | Outside:  22.9387 | Gen: 2789.6108 | Time: 57.1s
Epoch   270 | Total: 5453.0615 | Goal:   0.0000 | Unsafe: 2604.7437 | Init: 125.5284 | Outside:  31.4417 | Gen: 2691.3477 | Time: 58.7s
Epoch   280 | Total: 5020.7588 | Goal:   0.0000 | Unsafe: 2187.1340 | Init: 194.8655 | Outside:  29.0145 | Gen: 2609.7451 | Time: 60.8s
Epoch   290 | Total: 4730.9062 | Goal:   0.0000 | Unsafe: 1827.0746 | Init: 386.1046 | Outside:  22.7918 | Gen: 2494.9351 | Time: 62.5s
Epoch   300 | Total: 4398.8101 | Goal:   0.0000 | Unsafe: 1936.3654 | Init:  20.2975 | Outside:  73.2794 | Gen: 2368.8679 | Time: 64.2s
Epoch   310 | Total: 5147.6836 | Goal:   0.6720 | Unsafe: 2487.9080 | Init:   0.0000 | Outside: 424.3101 | Gen: 2234.7937 | Time: 65.9s
Epoch   320 | Total: 4016.9849 | Goal:   0.0000 | Unsafe: 1326.9755 | Init: 514.3324 | Outside:  19.9427 | Gen: 2155.7344 | Time: 67.7s
Epoch   330 | Total: 3728.1011 | Goal:   0.0000 | Unsafe: 1575.7965 | Init:   8.1233 | Outside:  91.0569 | Gen: 2053.1245 | Time: 69.4s
Epoch   340 | Total: 3471.2954 | Goal:   0.0000 | Unsafe: 1382.5598 | Init:  53.7566 | Outside:  52.7874 | Gen: 1982.1918 | Time: 71.2s
Epoch   350 | Total: 3417.4915 | Goal:   0.0000 | Unsafe: 1207.7523 | Init: 265.0117 | Outside:  25.6821 | Gen: 1919.0454 | Time: 72.9s
Epoch   360 | Total: 3255.8000 | Goal:   0.0000 | Unsafe: 1309.1523 | Init:  37.2157 | Outside:  57.8453 | Gen: 1851.5867 | Time: 74.6s
Epoch   370 | Total: 3279.5081 | Goal:   0.0000 | Unsafe: 1380.0967 | Init:   4.0438 | Outside:  98.9956 | Gen: 1796.3721 | Time: 76.2s
Epoch   380 | Total: 3270.4443 | Goal:   0.0000 | Unsafe: 1075.9425 | Init: 404.5798 | Outside:  20.6820 | Gen: 1769.2399 | Time: 78.0s
Epoch   390 | Total: 3126.6616 | Goal:   0.0000 | Unsafe: 1306.0044 | Init:   5.1741 | Outside:  90.7209 | Gen: 1724.7621 | Time: 79.9s
Epoch   400 | Total: 2986.9229 | Goal:   0.0000 | Unsafe: 1201.6747 | Init:  31.3221 | Outside:  56.6542 | Gen: 1697.2717 | Time: 81.7s
Epoch   410 | Total: 2983.1387 | Goal:   0.0000 | Unsafe: 1071.3607 | Init: 214.8054 | Outside:  26.0338 | Gen: 1670.9386 | Time: 83.5s
Epoch   420 | Total: 2901.6782 | Goal:   0.0000 | Unsafe: 1184.9060 | Init:  20.2718 | Outside:  62.6447 | Gen: 1633.8556 | Time: 85.3s
Epoch   430 | Total: 2874.0522 | Goal:   0.0000 | Unsafe: 1186.8420 | Init:  13.4230 | Outside:  69.0570 | Gen: 1604.7303 | Time: 87.0s
Epoch   440 | Total: 2888.7080 | Goal:   0.0000 | Unsafe: 1018.3738 | Init: 262.3007 | Outside:  23.1143 | Gen: 1584.9191 | Time: 88.7s
Epoch   450 | Total: 2795.6458 | Goal:   0.0000 | Unsafe: 1162.5341 | Init:  11.8752 | Outside:  69.6130 | Gen: 1551.6234 | Time: 90.4s
Epoch   460 | Total: 2747.8105 | Goal:   0.0000 | Unsafe: 1143.7616 | Init:  13.7406 | Outside:  65.9532 | Gen: 1524.3553 | Time: 92.2s
Epoch   470 | Total: 2763.5703 | Goal:   0.0000 | Unsafe: 991.1573 | Init: 243.5149 | Outside:  23.2179 | Gen: 1505.6802 | Time: 93.9s
