
====================
Pre-Training: Constraint-Structured Initialization (Sample-Based)
====================
  GV (Φ) pre-training ENABLED (using provided GV_net)
Epoch 9500 | V_loss= 16.1865 | GV_loss=  8.8991
Epoch 9600 | V_loss=  6.5174 | GV_loss=  0.1580
Epoch 9700 | V_loss=  6.5786 | GV_loss=  0.5209
Epoch 9800 | V_loss=  8.2596 | GV_loss=  0.8320
Epoch 9900 | V_loss=  6.0084 | GV_loss=  1.6773
Epoch 10000 | V_loss=  4.4832 | GV_loss=  0.1080
Epoch 10100 | V_loss=  9.9145 | GV_loss=  1.9060
Epoch 10200 | V_loss=  6.6821 | GV_loss=  1.5670
Epoch 10300 | V_loss=  4.4467 | GV_loss=  0.6959
Epoch 10400 | V_loss=  2.3171 | GV_loss=  0.6763
Epoch 10500 | V_loss=  1.8157 | GV_loss=  0.0223
Epoch 10600 | V_loss=  2.3593 | GV_loss=  0.7085
Epoch 10700 | V_loss=  0.9762 | GV_loss= 11.7396
Epoch 10800 | V_loss=  0.1723 | GV_loss=  0.2211
Epoch 10900 | V_loss=  0.0953 | GV_loss=  1.4369
Epoch 11000 | V_loss=  0.0000 | GV_loss=  0.0000
Epoch 11100 | V_loss=  0.0045 | GV_loss=  0.6275
Epoch 11200 | V_loss=  0.0000 | GV_loss=  0.3782
Epoch 11300 | V_loss=  0.6658 | GV_loss=  0.4196
Epoch 11400 | V_loss=  0.0000 | GV_loss=  0.4622
Epoch 11500 | V_loss=  2.6775 | GV_loss= 10.8863
Epoch 11600 | V_loss=  0.0330 | GV_loss=  0.0000
Epoch 11700 | V_loss=  0.1275 | GV_loss=  3.1492
Epoch 11800 | V_loss=  1.4119 | GV_loss=  1.9075
Epoch 11900 | V_loss=  0.1853 | GV_loss=  1.4476
Epoch 12000 | V_loss=  0.0095 | GV_loss= 55.4035
Epoch 12100 | V_loss=  2.0962 | GV_loss=  1.9608
Epoch 12200 | V_loss=  0.1048 | GV_loss=  0.2319
Epoch 12300 | V_loss=  0.0000 | GV_loss=  0.0000
Epoch 12400 | V_loss=  0.0000 | GV_loss=  0.0000
Epoch 12500 | V_loss=  0.0000 | GV_loss=  0.0000
Epoch 12600 | V_loss=  0.0000 | GV_loss= 11.1598
Epoch 12700 | V_loss=  0.0940 | GV_loss=  0.6072
Epoch 12800 | V_loss=  4.9289 | GV_loss=  6.3914
Epoch 12900 | V_loss=  0.9002 | GV_loss=  0.5870
Epoch 13000 | V_loss=  0.0508 | GV_loss=  0.2374
Epoch 13100 | V_loss=  0.0000 | GV_loss=  0.0000
Epoch 13200 | V_loss=  0.0000 | GV_loss=  0.1027
Epoch 13300 | V_loss=  0.0000 | GV_loss=  0.1205
Epoch 13400 | V_loss=  0.1646 | GV_loss=  0.9410
Epoch 13500 | V_loss= 10.2769 | GV_loss= 10.1280
Epoch 13600 | V_loss=  0.4468 | GV_loss=  2.9302
Epoch 13700 | V_loss= 12.8943 | GV_loss=  8.0788
Epoch 13800 | V_loss=  1.1932 | GV_loss=  1.4251
Epoch 13900 | V_loss=  0.8820 | GV_loss=  5.8812
Epoch 14000 | V_loss= 12.2726 | GV_loss=  3.5901
Epoch 14100 | V_loss=  0.0143 | GV_loss=  1.0259
Epoch 14200 | V_loss=  0.0891 | GV_loss=  0.3123
Epoch 14300 | V_loss=  2.5480 | GV_loss=  2.6356
Epoch 14400 | V_loss=  1.1139 | GV_loss=  2.2411
Epoch 14500 | V_loss=  0.9092 | GV_loss=  1.4639
Epoch 14600 | V_loss=  1.3522 | GV_loss=  0.0605
Epoch 14700 | V_loss=  0.0447 | GV_loss=  0.8833
Epoch 14800 | V_loss=  0.0062 | GV_loss=  0.0890
Epoch 14900 | V_loss=  0.0000 | GV_loss=  0.0636

  Best loss: 1.166550
  Saved pretrained V_net to: /Users/sebastianescobar/Desktop/Neural_Certificate/examples/synthesis/xv15aircraft_syn/outputs/V_pretrained.pth
  Saved pretrained Controller_net to: /Users/sebastianescobar/Desktop/Neural_Certificate/examples/synthesis/xv15aircraft_syn/outputs/controller_pretrained.pth
====================
Pre-training complete. V + GV (Φ) + Controller initialized.
====================


====================
Bound-Based Training
====================

Collecting all cells for V network...
  init: 21952 cells
  goal: 32768 cells
  unsafe: 24576 cells
  outside: 13312 cells
  Total V cells: 92608

Preparing concatenated input bounds for V network...

Initializing CROWN cache for ALL 92608 V cells...

Creating CROWN cache for 'generator' (Phi)...
  generator: 1664 cells
